generation,rank_1,rank_2,swapAccepted
839000,2,3,0
840000,1,3,0
841000,3,4,0
842000,1,4,0
843000,3,4,0
844000,1,4,0
845000,1,4,0
846000,1,4,0
847000,3,4,0
848000,2,4,0
849000,1,2,0
850000,2,4,0
851000,1,4,0
852000,2,3,0
853000,2,3,0
854000,1,4,0
855000,2,4,0
856000,2,4,0
857000,1,2,0
858000,1,3,0
859000,1,2,0
860000,1,4,0
861000,1,3,0
862000,1,3,0
863000,1,2,0
864000,3,4,0
865000,2,3,0
866000,3,4,0
867000,2,4,0
868000,2,3,0
869000,1,2,0
870000,3,4,0
871000,2,3,0
872000,2,3,0
873000,1,2,0
874000,2,3,0
875000,1,4,0
876000,2,3,0
877000,1,3,0
878000,3,4,0
879000,2,3,0
880000,2,4,0
881000,3,4,0
882000,1,2,0
883000,3,4,0
884000,1,4,0
885000,1,4,0
886000,3,4,0
887000,1,3,0
888000,2,3,0
889000,1,4,0
890000,3,4,0
891000,1,4,0
892000,2,3,0
893000,1,2,0
894000,3,4,0
895000,3,4,0
896000,3,4,0
897000,1,4,0
898000,3,4,0
899000,1,2,0
900000,3,4,0
901000,3,4,0
902000,1,2,0
903000,1,3,0
904000,2,3,0
905000,3,4,0
906000,1,2,0
907000,2,3,0
908000,1,3,0
909000,1,2,0
910000,2,3,0
911000,2,4,0
912000,1,3,0
913000,1,3,0
914000,1,4,0
915000,1,2,0
916000,1,3,0
917000,1,3,0
918000,1,2,0
919000,3,4,0
920000,3,4,0
921000,3,4,0
922000,2,3,0
923000,1,4,0
924000,2,4,0
925000,1,2,0
926000,1,3,0
927000,2,3,0
928000,2,3,0
929000,1,4,0
930000,2,3,0
931000,1,4,0
932000,3,4,0
933000,1,2,0
934000,2,4,0
935000,2,4,0
936000,3,4,0
937000,3,4,0
938000,2,3,0
939000,1,3,0
940000,1,2,0
941000,2,4,0
942000,1,3,0
943000,1,2,0
944000,1,4,0
945000,1,2,0
946000,1,2,0
947000,1,3,0
948000,2,3,0
949000,3,4,0
950000,1,4,0
951000,1,3,0
952000,3,4,0
953000,1,3,0
954000,2,4,0
955000,2,4,0
956000,1,4,0
957000,2,4,0
958000,2,3,0
959000,1,4,0
960000,3,4,0
961000,2,4,0
962000,1,3,0
963000,2,4,0
964000,1,2,0
965000,1,3,0
966000,2,4,0
967000,2,4,0
968000,1,2,0
969000,3,4,0
970000,2,3,0
971000,3,4,0
972000,1,3,0
973000,2,3,0
974000,1,4,0
975000,1,2,0
976000,2,3,0
977000,1,4,0
978000,1,3,0
979000,1,3,0
980000,1,4,0
981000,1,2,0
982000,2,4,0
983000,2,4,0
984000,3,4,0
985000,1,3,0
986000,1,3,0
987000,2,3,0
988000,2,3,0
989000,1,4,0
990000,2,4,0
991000,1,3,0
992000,2,3,0
993000,1,4,0
994000,2,4,0
995000,3,4,0
996000,3,4,0
997000,2,3,0
998000,2,3,0
999000,2,4,0
1000000,1,3,0
1001000,1,3,0
1002000,2,3,0
1003000,2,4,0
1004000,1,3,0
1005000,3,4,0
1006000,1,2,0
1007000,2,3,0
1008000,1,2,0
1009000,2,3,0
1010000,1,3,0
1011000,2,3,0
1012000,1,2,0
1013000,1,3,0
1014000,1,4,0
1015000,1,3,0
1016000,1,3,0
1017000,3,4,0
1018000,1,4,0
1019000,1,4,0
1020000,2,3,0
1021000,2,3,0
1022000,3,4,0
1023000,1,3,0
1024000,1,3,0
1025000,1,4,0
1026000,1,3,0
1027000,1,2,0
1028000,1,2,0
1029000,1,2,0
1030000,2,4,0
1031000,1,2,0
1032000,1,3,0
1033000,3,4,0
1034000,2,4,0
1035000,1,2,0
1036000,1,3,0
1037000,1,2,0
1038000,1,3,0
1039000,2,3,0
1040000,3,4,0
1041000,1,4,0
1042000,2,3,0
1043000,1,3,0
1044000,1,4,0
1045000,1,4,0
1046000,2,4,0
1047000,1,2,0
1048000,1,2,0
1049000,3,4,0
1050000,1,4,0
1051000,1,4,0
1052000,3,4,0
1053000,2,4,0
1054000,3,4,0
1055000,2,4,0
1056000,2,3,0
1057000,1,3,0
1058000,2,3,0
1059000,3,4,0
1060000,3,4,0
1061000,3,4,0
1062000,3,4,0
1063000,2,3,0
1064000,1,2,0
1065000,2,3,0
1066000,1,4,0
1067000,1,3,0
1068000,2,3,0
1069000,2,3,0
1070000,1,4,0
1071000,3,4,0
1072000,2,3,0
1073000,2,4,0
1074000,1,2,0
1075000,1,3,0
1076000,3,4,0
1077000,2,3,0
1078000,1,2,0
1079000,3,4,0
1080000,2,3,0
1081000,1,2,0
1082000,2,4,0
1083000,1,2,0
1084000,2,4,0
1085000,2,4,0
1086000,1,2,0
1087000,3,4,0
1088000,1,2,0
1089000,2,3,0
1090000,1,3,0
1091000,1,3,0
1092000,2,3,0
1093000,1,3,0
1094000,3,4,0
1095000,1,2,0
1096000,2,3,0
1097000,1,3,0
1098000,1,2,0
1099000,1,3,0
1100000,1,4,0
1101000,3,4,0
1102000,2,4,0
1103000,1,2,0
1104000,2,4,0
1105000,1,3,0
1106000,3,4,0
1107000,2,3,0
1108000,1,3,0
1109000,3,4,0
1110000,1,2,0
1111000,2,4,0
1112000,2,4,0
1113000,2,4,0
1114000,2,4,0
1115000,2,3,0
1116000,2,4,0
1117000,2,3,0
1118000,1,4,0
1119000,2,4,0
1120000,2,4,0
1121000,3,4,0
1122000,1,2,0
1123000,2,4,0
1124000,1,4,0
1125000,1,3,0
1126000,1,3,0
1127000,3,4,0
1128000,2,3,0
1129000,1,4,0
1130000,1,4,0
1131000,3,4,0
1132000,2,3,0
1133000,3,4,0
1134000,2,4,0
1135000,2,4,0
1136000,2,4,0
1137000,1,4,0
1138000,2,4,0
1139000,1,2,0
1140000,2,3,0
1141000,2,3,0
1142000,1,4,0
1143000,3,4,0
1144000,2,4,0
1145000,1,4,0
1146000,1,4,0
1147000,2,4,0
1148000,1,3,0
