generation,N_shifts,logPrior,logLik,eventRate,acceptRate
5390000,52,-186.975,-11364.6,55.2025,0.3081
5400000,65,-210.994,-11357.9,71.3375,0.3044
5410000,57,-190.033,-11349.9,38.3758,0.3062
5420000,52,-174.628,-11378,47.559,0.3082
5430000,61,-208.867,-11350.6,61.6974,0.3079
5440000,64,-205.909,-11323.1,72.2379,0.3063
5450000,44,-149.882,-11323.1,51.6073,0.2993
5460000,50,-172.021,-11369.2,53.8726,0.2992
5470000,55,-180.021,-11339.6,62.5709,0.3058
5480000,68,-220.106,-11320.7,67.6283,0.3086
5490000,65,-211.849,-11342.3,68.7733,0.306
5500000,55,-188.556,-11304.5,59.5961,0.3003
5510000,63,-211.735,-11302.9,61.8454,0.3021
5520000,63,-206.915,-11377.4,63.5276,0.2982
5530000,65,-221.736,-11362.1,64.4081,0.3034
5540000,61,-209.574,-11393.2,60.281,0.305
5550000,56,-193.259,-11387.1,52.2259,0.3048
5560000,49,-166.897,-11347.4,54.6248,0.2989
5570000,57,-194.29,-11344.4,58.4447,0.3021
5580000,54,-173.968,-11383,47.2924,0.3099
5590000,54,-175.618,-11412.3,47.2708,0.3045
5600000,65,-208.748,-11364,58.0413,0.3046
5610000,60,-195.842,-11425.2,53.8539,0.3052
5620000,66,-206.391,-11423.8,56.74,0.3056
5630000,58,-195.616,-11365.4,64.9713,0.3114
5640000,50,-166.784,-11338.2,56.0667,0.2943
5650000,55,-179.544,-11414.1,49.4407,0.3007
5660000,49,-166.05,-11303,53.3049,0.3038
5670000,46,-157.874,-11299,61.0838,0.2942
5680000,63,-199.983,-11346,59.4555,0.3029
5690000,66,-207.129,-11295.6,77.9108,0.3091
5700000,60,-201.62,-11336.3,54.3389,0.303
5710000,51,-173.827,-11355,39.6785,0.3001
5720000,47,-163.191,-11303.6,46.4928,0.299
5730000,55,-190.23,-11311.4,40.3698,0.3055
5740000,64,-213.848,-11348.1,59.5336,0.2969
5750000,58,-196.589,-11340.6,66.9487,0.309
5760000,49,-167.062,-11302.3,36.6356,0.2944
5770000,62,-201.501,-11319.7,60.4231,0.3046
5780000,60,-195.414,-11333.5,69.2669,0.3119
5790000,56,-183.201,-11323.6,59.7818,0.2984
5800000,66,-209.542,-11329.5,68.7019,0.3043
5810000,61,-193.328,-11300,53.4711,0.2993
5820000,58,-190.666,-11297.9,47.1287,0.3083
5830000,62,-199.111,-11331,47.612,0.3079
5840000,54,-179.187,-11369,60.2146,0.3048
5850000,70,-230.372,-11363.3,70.6973,0.3099
5860000,62,-198.283,-11315.5,64.6727,0.2993
5870000,51,-171.906,-11324,41.1761,0.3033
5880000,62,-203.862,-11331.3,61.9332,0.3026
5890000,56,-185.277,-11354,56.1114,0.3022
5900000,52,-165.428,-11385,61.6133,0.3075
5910000,47,-157.74,-11324.7,44.826,0.3019
5920000,56,-190.276,-11304.9,44.4484,0.3027
5930000,46,-166.741,-11308.9,42.095,0.297
5940000,64,-212.276,-11373.1,50.4628,0.3048
5950000,54,-187.06,-11336,67.6421,0.3006
5960000,73,-239.149,-11364.7,72.9676,0.3
5970000,54,-181.405,-11399.1,70.8675,0.308
5980000,48,-161.484,-11313.4,61.1765,0.3052
5990000,66,-208.414,-11367.6,63.3435,0.3112
6000000,57,-188.11,-11415.5,60.2634,0.3052
6010000,51,-176.617,-11432.3,62.7042,0.3058
6020000,56,-187.398,-11423.2,50.9124,0.3132
6030000,53,-182.09,-11414.3,52.4392,0.3008
6040000,58,-183.543,-11420.6,58.5996,0.3034
6050000,47,-159.585,-11412.7,53.1966,0.304
6060000,40,-135.822,-11391.6,31.7354,0.3036
6070000,62,-199.232,-11399,62.602,0.305
6080000,70,-220.991,-11334.1,59.7611,0.2979
6090000,47,-160.98,-11392.6,40.6086,0.305
6100000,53,-177.045,-11381.2,57.2659,0.3111
6110000,50,-175.408,-11404.7,53.3088,0.2936
6120000,45,-162.16,-11441.8,38.5899,0.3139
6130000,50,-172.821,-11435.2,55.6023,0.3062
6140000,62,-208.09,-11399.2,66.9081,0.3046
6150000,43,-154.032,-11419.8,61.8436,0.3143
6160000,57,-191.735,-11410.3,48.2619,0.305
6170000,53,-170.251,-11385,44.9176,0.3032
6180000,67,-218.514,-11379.8,70.3301,0.3065
6190000,61,-205.02,-11357.1,67.765,0.3057
6200000,61,-207.48,-11344,60.3007,0.3086
6210000,51,-180.763,-11303.7,51.2234,0.3115
6220000,48,-165.741,-11293.1,49.7231,0.3106
6230000,52,-175.822,-11305.7,50.4138,0.2971
6240000,48,-160.908,-11329.4,37.788,0.2975
6250000,65,-200.333,-11320.7,58.6676,0.2988
6260000,53,-171.19,-11332.3,54.0716,0.302
6270000,47,-163.852,-11411.4,43.4289,0.2996
6280000,62,-196.167,-11393.8,59.2078,0.2981
6290000,45,-147.789,-11402.2,38.9197,0.3108
6300000,52,-171.745,-11328.4,67.155,0.2986
6310000,58,-197.418,-11369.4,46.1015,0.3022
6320000,59,-188.54,-11382,58.5182,0.3027
6330000,61,-198.054,-11436,63.5558,0.312
6340000,55,-183.493,-11332.6,62.603,0.3142
6350000,56,-186.818,-11301.2,55.2452,0.2996
6360000,59,-191.76,-11365.8,60.6602,0.2991
6370000,55,-182.355,-11388.2,52.4625,0.2971
6380000,65,-223.267,-11373.9,69.1647,0.3102
6390000,63,-198.113,-11362.6,51.5751,0.311
6400000,64,-208.5,-11424.7,58.5,0.3069
6410000,48,-162.437,-11393,47.1589,0.3076
6420000,60,-198.225,-11401.4,53.2625,0.3104
6430000,44,-155.355,-11339.5,44.9186,0.3054
6440000,54,-170.991,-11379.6,50.5406,0.3079
6450000,49,-164.959,-11398.5,55.6624,0.3022
6460000,57,-179.315,-11420.5,52.4886,0.3014
6470000,57,-191.462,-11398.1,57.459,0.3071
6480000,52,-175.7,-11471.2,51.2621,0.3074
6490000,65,-209.16,-11446.1,53.3846,0.3081
6500000,52,-184.274,-11451.3,60.1089,0.313
6510000,52,-188.126,-11470.1,45.681,0.3093
6520000,61,-212.069,-11460.5,54.3204,0.3081
6530000,59,-209.549,-11465.7,57.0063,0.3108
6540000,57,-182.278,-11579.7,65.2681,0.3132
6550000,58,-192.803,-11514,56.1862,0.314
6560000,52,-174.039,-11510.6,53.5568,0.3153
6570000,50,-176.432,-11504.9,55.135,0.3123
6580000,48,-168.395,-11526,41.7683,0.3178
6590000,45,-156.819,-11475.7,43.7936,0.312
6600000,43,-162.981,-11474,43.3681,0.3028
6610000,50,-172.125,-11537.8,44.4179,0.3158
6620000,55,-184.59,-11524,48.1195,0.3168
6630000,59,-192.918,-11515,49.3316,0.3093
6640000,44,-158.572,-11473.3,34.0651,0.3128
6650000,53,-179.925,-11484.3,52.555,0.3087
6660000,55,-192.002,-11461.7,46.442,0.3142
6670000,52,-168.557,-11507.3,38.8184,0.3112
6680000,49,-171.045,-11502.9,49.0777,0.3198
6690000,52,-180.04,-11412.6,56.2486,0.3095
6700000,48,-165.922,-11463.2,39.3051,0.3196
6710000,39,-138.414,-11495.8,41.9646,0.3089
6720000,49,-175.343,-11418,57.6931,0.3056
6730000,53,-190.2,-11453.1,66.0266,0.2992
6740000,53,-178.516,-11500.1,44.5544,0.32
6750000,47,-175.023,-11476.5,60.2144,0.2998
6760000,60,-194.841,-11448.3,65.2384,0.3196
6770000,48,-164.997,-11438.2,62.7347,0.3064
6780000,50,-173.054,-11442.9,52.3151,0.3086
6790000,60,-206.57,-11440.9,46.4115,0.3024
6800000,51,-176.718,-11479.5,52.8175,0.3106
6810000,55,-187.095,-11387.2,50.223,0.3029
6820000,61,-202.545,-11414.6,56.1754,0.3075
6830000,57,-197.825,-11424.7,55.6955,0.3066
6840000,49,-158.651,-11422.6,56.2382,0.3045
6850000,57,-203.732,-11365.3,55.6524,0.3042
6860000,44,-148.668,-11363.3,45.3648,0.2984
6870000,51,-169.597,-11408.3,59.8773,0.3081
6880000,60,-205.294,-11376.2,66.112,0.3045
6890000,77,-239.424,-11414.4,70.0376,0.3106
6900000,67,-216.099,-11347.3,58.6653,0.2987
6910000,56,-197.551,-11408.2,53.4278,0.3077
6920000,50,-171.053,-11409,55.388,0.3139
6930000,47,-164.518,-11410.9,43.2089,0.3021
6940000,67,-225.475,-11454.1,66.5268,0.309
6950000,59,-197.22,-11382.6,66.0427,0.3111
6960000,71,-226.097,-11403.1,56.83,0.3132
6970000,62,-210.234,-11424.4,59.1456,0.3038
6980000,62,-203.625,-11384,68.1149,0.3045
6990000,59,-203.424,-11388.9,56.0172,0.3174
7000000,66,-217.052,-11398.6,51.4886,0.3099
7010000,58,-187.768,-11306.9,53.4872,0.3115
7020000,51,-162.072,-11352.1,48.7262,0.3032
7030000,48,-163.027,-11380,41.6902,0.2979
7040000,52,-181.758,-11322.7,52.2438,0.2947
7050000,42,-142.495,-11323.7,41.4328,0.2961
7060000,61,-188.468,-11372.3,55.6653,0.3131
7070000,59,-186.6,-11399,73.5056,0.3075
7080000,55,-192.326,-11448.2,49.9114,0.306
7090000,57,-188.507,-11375.5,58.9192,0.3102
7100000,45,-151.542,-11395.3,57.1504,0.3077
7110000,42,-153.496,-11375.3,33.3215,0.3027
7120000,56,-189.781,-11352.1,56.6689,0.3082
7130000,45,-156.627,-11300.1,40.1098,0.2978
7140000,52,-182.34,-11331.6,46.046,0.2984
7150000,53,-176.776,-11393.7,61.8646,0.3036
7160000,55,-178.997,-11399,56.3847,0.3057
7170000,58,-192.575,-11363.1,67.9695,0.3092
7180000,58,-183.948,-11338.2,53.0106,0.3021
7190000,56,-178.65,-11452.6,67.9264,0.3141
7200000,52,-168.636,-11444.8,42.7667,0.3169
7210000,62,-200.189,-11380.3,63.3263,0.306
7220000,57,-176.857,-11376.7,64.5363,0.3054
7230000,57,-183.668,-11347.5,63.7616,0.3086
7240000,48,-169.768,-11345.5,44.3188,0.3028
7250000,48,-162.233,-11321.8,49.4325,0.3114
7260000,52,-179.149,-11333.6,45.3371,0.2993
7270000,60,-200.586,-11310.9,71.0038,0.3057
7280000,74,-240.961,-11261.7,67.0407,0.3063
7290000,72,-227.254,-11242.2,71.2938,0.3015
7300000,54,-188.977,-11254.2,43.3937,0.2995
7310000,44,-152.87,-11298.3,57.2567,0.3043
7320000,63,-203.485,-11296.6,60.3045,0.3016
7330000,60,-209.838,-11321.5,60.7522,0.3104
7340000,57,-196.847,-11344.5,61.1788,0.2923
7350000,66,-215.009,-11353,77.1181,0.2983
7360000,70,-238.435,-11350.6,60.9162,0.308
7370000,74,-238.319,-11348.4,74.8547,0.3116
7380000,63,-212.965,-11300.6,62.8706,0.3007
7390000,53,-171.497,-11343.7,49.2194,0.3073
7400000,64,-210.105,-11371.7,68.1863,0.3074
7410000,66,-224.058,-11315.4,80.5749,0.3065
7420000,53,-182.879,-11353.6,59.9344,0.3025
7430000,61,-198.927,-11348.9,57.0068,0.2998
7440000,73,-237.036,-11382.9,79.4466,0.3149
7450000,62,-193.924,-11318.6,54.7889,0.3086
7460000,55,-174.942,-11313.5,51.8946,0.3073
7470000,49,-165.955,-11334.1,52.6576,0.2939
7480000,43,-150.861,-11371.6,45.2426,0.3004
7490000,41,-159.526,-11382.3,39.7055,0.2963
7500000,56,-186.679,-11348.3,60.1509,0.3031
7510000,54,-181.704,-11401.3,51.4406,0.3019
7520000,52,-165.759,-11378.5,60.1983,0.3127
7530000,50,-173.482,-11396.6,69.4258,0.302
7540000,52,-176.592,-11391.5,51.5367,0.3164
7550000,49,-166.3,-11398.7,52.0517,0.3072
7560000,42,-150.519,-11448.6,49.543,0.3062
7570000,52,-180.834,-11481.6,62.4722,0.2983
7580000,63,-220.569,-11512.5,66.3828,0.3029
7590000,62,-209.254,-11511.6,54.7371,0.3252
7600000,63,-208.379,-11460.1,49.9875,0.3172
7610000,64,-205.807,-11462.5,64.9633,0.3076
7620000,54,-171.869,-11511.8,45.8105,0.3218
7630000,57,-188.815,-11476.4,56.3447,0.3119
7640000,51,-174.812,-11485.8,47.8577,0.303
7650000,51,-162.368,-11496,44.4621,0.3172
7660000,46,-162.148,-11519.2,58.3152,0.318
7670000,43,-153.278,-11534.1,41.8849,0.3096
7680000,44,-161.874,-11522.1,45.1873,0.3145
7690000,53,-176.804,-11473.8,59.0559,0.311
7700000,71,-222.043,-11524.4,63.6273,0.3082
7710000,53,-171.385,-11528.9,42.7469,0.316
7720000,60,-195.725,-11499.3,46.1769,0.3075
7730000,57,-184.563,-11507.1,57.3588,0.3138
7740000,48,-164.634,-11431.4,40.3633,0.3114
7750000,70,-229.002,-11381.8,53.1301,0.3136
7760000,61,-197.024,-11335.8,70.2831,0.3142
7770000,66,-215.237,-11326.3,62.7836,0.3092
7780000,70,-233.2,-11346.1,68.0691,0.3085
7790000,68,-221.632,-11378.1,59.5831,0.3084
7800000,60,-204.919,-11369.1,50.5445,0.3074
7810000,59,-198.216,-11378.2,60.9968,0.3119
7820000,56,-184.632,-11407.5,58.8793,0.307
7830000,59,-189.888,-11400.9,54.8456,0.3024
7840000,61,-196.336,-11379.9,57.4914,0.3092
