generation,N_shifts,logPrior,logLik,eventRate,acceptRate
1770000,64,-162.741,-10772.1,62.9268,0.4402
1780000,57,-139.433,-10759.5,69.7578,0.4513
1790000,50,-130.736,-10704.4,41.6352,0.441
1800000,48,-134.931,-10728,38.2693,0.4445
1810000,56,-148.728,-10755.5,51.3779,0.4424
1820000,58,-163.934,-10779.9,50.45,0.4514
1830000,64,-160.176,-10757.7,79.2187,0.4439
1840000,61,-159.37,-10765.4,60.8504,0.4513
1850000,52,-140.163,-10754.3,47.2221,0.4575
1860000,49,-122.913,-10797.8,46.2825,0.438
1870000,64,-162.829,-10820.4,54.4013,0.4469
1880000,52,-136.469,-10869.6,63.0891,0.4508
1890000,44,-118.378,-10806.5,55.6403,0.4462
1900000,55,-149.438,-10792.4,58.8859,0.443
1910000,59,-157.454,-10786,59.6268,0.4424
1920000,58,-153.714,-10769.9,47.4626,0.446
1930000,64,-164.805,-10732.9,53.483,0.4353
1940000,62,-161.996,-10700.7,55.3351,0.4403
1950000,50,-129.31,-10704.2,52.8403,0.4307
1960000,54,-141.918,-10746.6,56.3548,0.4342
1970000,55,-148.836,-10687.9,54.4795,0.4388
1980000,42,-112.461,-10765.5,46.1294,0.4489
1990000,51,-136.581,-10746.7,46.5719,0.4398
2000000,48,-134.24,-10688.5,44.7473,0.4375
2010000,51,-140.42,-10799.8,40.6788,0.4488
2020000,57,-161.452,-10734.4,61.87,0.4374
2030000,43,-124.856,-10707.1,45.0401,0.4469
2040000,45,-122.982,-10778.3,41.6687,0.4467
2050000,47,-135.639,-10830.6,55.1086,0.4434
2060000,67,-176.886,-10804,77.8666,0.4571
2070000,52,-143.803,-10828.8,49.3859,0.4548
2080000,48,-126.544,-10873.1,45.9386,0.447
2090000,51,-146.23,-10845.2,61.5661,0.4478
2100000,38,-121.373,-10847.2,36.554,0.4473
2110000,43,-114.973,-10886.6,45.3973,0.4549
2120000,42,-124.978,-10866.5,40.791,0.4513
2130000,46,-128.524,-10860.6,55.1064,0.4508
2140000,48,-131.36,-10865.7,53.2564,0.4542
2150000,49,-145.952,-10874.4,45.2464,0.45
2160000,46,-131.959,-10892.1,50.0738,0.4414
2170000,40,-109.305,-10800.6,39.9969,0.4464
2180000,48,-128.273,-10783.7,49.415,0.4334
2190000,55,-148.374,-10809,56.1805,0.4401
2200000,55,-146.628,-10837.3,54.4652,0.4378
2210000,53,-149.383,-10738.8,53.8997,0.4418
2220000,59,-164.352,-10694.8,44.6492,0.4466
2230000,60,-171.738,-10745.5,59.1471,0.4331
2240000,68,-189.847,-10695.8,51.7546,0.4426
2250000,80,-204.876,-10643.4,67.2288,0.443
2260000,77,-213.298,-10721.2,72.4374,0.433
2270000,69,-193.817,-10789.3,75.3694,0.4454
2280000,55,-162.34,-10815.8,49.2373,0.4462
2290000,45,-136.62,-10802.1,41.0039,0.4392
2300000,60,-156.858,-10746.7,47.7549,0.4397
2310000,42,-121.448,-10732,43.9586,0.4308
2320000,37,-119.624,-10709.3,35.3068,0.435
2330000,44,-131.638,-10762.2,47.6475,0.4412
2340000,45,-130.493,-10835.8,48.6737,0.4405
2350000,46,-117.682,-10777.6,41.5905,0.4442
2360000,44,-125.245,-10757.3,46.2066,0.4428
2370000,39,-107.443,-10775.6,43.934,0.4296
2380000,28,-82.9002,-10796.4,30.4115,0.4398
2390000,46,-117.717,-10791.4,37.7364,0.4413
2400000,42,-120.579,-10762.4,46.8968,0.4512
2410000,48,-131.192,-10774.3,40.3526,0.4371
2420000,31,-95.7842,-10779.5,36.5981,0.4407
2430000,49,-130.998,-10809.6,62.8987,0.452
2440000,45,-118.055,-10759.2,45.8487,0.4513
