abbr,species
Popsub,Parmeliopsis_subambigua
Ppasph,Pseudoparmelia_uleana
Ppshor,Hypotrachyna_horrescens
Ppsmin,Hypotrachyna_minarum
Ppsspu,Hypotrachyna_spumosa
Psohyp,Psoroma_hypnorum
Punapp,Punctelia_appalachensis
Punbol,Punctelia_bolliana
Punbor,Punctelia_borreri
Puncas,Punctelia_caseana
Punhyp,Punctelia_hypoleucites
Punmis,Punctelia_missouriensis
Punper,Punctelia_perreticulata
Punred,Punctelia_reddenda
Punrud,Punctelia_rudecta
Punsem,Punctelia_graminicola
Punsub,Punctelia_subrudecta
Pyxber,Pyxine_berteriana
Pyxcae,Pyxine_caesiopruinosa
Pyxesc,Pyxine_eschweileri
Pyxsor,Pyxine_sorediata
Pyxsub,Pyxine_subcinerea
Ramame,Ramalina_americana
Ramcom,Ramalina_complanata
Ramden,Ramalina_denticulata
Ramdil,Ramalina_dilacerata
Ramfar,Ramalina_farinacea
Ramlep,Ramalina_leptocarpha
Rammen,Ramalina_menziesii
Ramobt,Ramalina_obtusata
Rampol,Ramalina_pollinaria
Ramroe,Ramalina_roesleri
Ramsin,Ramalina_sinensis
Ramsle,Ramalina_subleptocarpha
Ramste,Ramalina_stenospora
Ramthr,Ramalina_thrausta
Ramwil,Ramalina_willeyi
Rimcet,Parmotrema_cetrata
Rimdif,Parmotrema_diffractaicum
Rimret,Parmotrema_reticulatum
Rimsub,Rimelia_subisidiosa
Sphglo,Sphaerophorus_globosus
Sphmel,Bunodophoron_melanocarpum
Stibea,Sticta_beauvoisii
Stiful,Sticta_fuliginosa
Stilim,Sticta_limbata
Stiwei,Sticta_weigelii
Stiwri,Sticta_wrightii
Sulbad,Sulcaria_badia
Telchr,Teloschistes_chrysophthalmus
Telexi,Teloschistes_exilis
Telfla,Teloschistes_flavicans
Tucari,Nephromopsis_arizonica
Tucfen,Nephromopsis_fendleri
Tucpse,Nephromopsis_pseudoweberi
Usncad,Usnea_dasaea
Usncav,Usnea_cavernosa
Usncer,Usnea_ceratina
Usncha,Usnea_chaetophora
Usncor,Usnea_cornuta
Usncyl,Usnea_cylindrica
Usndip,Usnea_diplotypus
Usnesp,Usnea_esperantiana
Usnfil,Usnea_filipendula
Usnfra,Usnea_fragilescens
Usngla,Usnea_glabrata
Usngls,Usnea_glabrescens
Usnhes,Usnea_hesperina
Usnhir,Usnea_hirta
Usnint,Usnea_intermedia
Usnlap,Usnea_lapponica
Usnlon,Usnea_longissima
Usnmad,Usnea_madeirensis
Usnmer,Usnea_merrillii
Usnmut,Usnea_mutabilis
Usnnid,Usnea_nidulans
Usnocc,Usnea_occidentalis
Usnpar,Usnea_parvula
Usnpcf,Usnea_pacificana
Usnpli,Usnea_plicata
Usnrub,Usnea_rubicunda
Usnsca,Usnea_scabrata
Usnsfu,Usnea_subfusca
Usnssc,Usnea_subscabrosa
Usnsst,Usnea_substerilis
Usnstr,Usnea_strigosa
Usnsub,Usnea_subfloridana
Usntri,Usnea_trichodea
Usnwas,Usnea_wasmuthii
Usnwir,Usnea_wirthii
Vulcan,Cetraria_canadensis
Vulpin,Cetraria_pinastri
Xancan,Polycauliona_candelaria
Xanfal,Xanthomendoza_fallax
Xanful,Xanthomendoza_fulva
Xangal,Xanthomendoza_galericulata
Xanhas,Xanthomendoza_hasseana
Xanmon,Xanthomendoza_montana
Xanore,Xanthomendoza_oregana
Xanpar,Xanthoria_parietina
Xanpol,Polycauliona_polycarpa
Xanten,Polycauliona_tenax
Xanulo,Xanthomendoza_ulophyllodes
